A0A0B4J1U7	IGHV6-1
A0A0B4J1V0	IGHV3-15
A0A0B4J1V1	IGHV3-21
A0A0B4J1V2	IGHV2-26
A0A0B4J1V6	IGHV3-73
A0A0B4J1V7	IGHV7-81
A0A0B4J1W7	NPIPA9
A0A0B4J1X5	IGHV3-74
A0A0B4J1X8	IGHV3-43
A0A0B4J1Y8	IGLV9-49
A0A0B4J1Y9	IGHV3-72
A0A0B4J1Z2	IGKV1D-43
A0A0B4J200	TRBJ2-3
A0A0B4J234	TRAV2
A0A0B4J235	TRAV13-2
A0A0B4J237	TRAV8-2
A0A0B4J238	TRAV1-2
A0A0B4J240	TRAV10
A0A0B4J241	TRAV13-1
A0A0B4J244	TRAV3
A0A0B4J245	TRAV12-1
A0A0B4J248	TRAV1-1
A0A0B4J249	TRAV5
A0A0B4J262	TRAV8-6
A0A0B4J263	TRAV39
A0A0B4J264	TRAV38-1
A0A0B4J265	TRAV26-2
A0A0B4J266	TRAV41
A0A0B4J268	TRAV4
A0A0B4J271	TRAV12-3
A0A0B4J272	TRAV24
A0A0B4J273	TRAV34
A0A0B4J274	TRAV20
A0A0B4J275	TRAV17
A0A0B4J276	TRAV25
A0A0B4J277	TRAV22
A0A0B4J279	TRAV21
A0A0B4J280	TRAV40
A0A0B4J2B6	IGHV2OR16-5
A0A0B4J2B8	IGHV1OR15-9
A0A0B4J2D9	IGKV1D-13
A0A0B4J2E0	TRBV12-4
A0A0B4J2H0	IGHV1-69D
A0A0C4DGP1	ENSG00000286075
A0A0C4DH24	IGKV6-21
A0A0C4DH25	IGKV3D-20
A0A0C4DH26	IGKV6D-41
A0A0C4DH27	TRGV8
A0A0C4DH28	TRGV4
A0A0C4DH29	IGHV1-3
A0A0C4DH30	IGHV3-16
A0A0C4DH31	IGHV1-18
A0A0C4DH32	IGHV3-20
A0A0C4DH33	IGHV1-24
A0A0C4DH34	IGHV4-28
A0A0C4DH35	IGHV3-35
A0A0C4DH36	IGHV3-38
A0A0C4DH38	IGHV5-51
A0A0C4DH39	IGHV1-58
A0A0C4DH41	IGHV4-61
A0A0C4DH42	IGHV3-66
A0A0C4DH43	IGHV2-70D
A0A0C4DH55	IGKV3D-7
A0A0C4DH59	TRBV5-4
A0A0C4DH62	IGHJ1
A0A0C4DH63	TRGJP
A0A0C4DH67	IGKV1-8
A0A0C4DH68	IGKV2-24
A0A0C4DH69	IGKV1-9
A0A0C4DH72	IGKV1-6
A0A0C4DH73	IGKV1-12
A0A0C4DH90	IGKV3OR2-268
A0A0C5B5G6	MT-RNR1
A0A0G2JKW9	ENSG00000257215
A0A0G2JLG4	ASIC5
A0A0G2JLJ8	IGHD5OR15-5A
A0A0G2JLM5	ENSG00000274243
A0A0G2JLQ3	KIR2DS5
A0A0G2JMH3	LOC107984156
A0A0G2JMI3	IGHV1-69-2
A0A0G2JMM0	ENSG00000274971
A0A0G2JMP0	ENSG00000278776
A0A0G2JMS6	ENSG00000275428
A0A0G2JN01	KIR3DP1
A0A0G2JN53	ENSG00000282676
A0A0G2JN68	ENSG00000278414
A0A0G2JND7	ENSG00000274063
A0A0G2JNF4	KIR2DP1
A0A0G2JNG1	ENSG00000274563
A0A0G2JNH3	ENSG00000278178
A0A0G2JNJ9	ENSG00000276253
A0A0G2JNQ3	HNRNPCL2
A0A0G2JP03	ENSG00000277596
A0A0G2JP20	PRAMEF9
A0A0G2JPB7	ENSG00000275798
A0A0G2JPC4	KIR2DL5B
A0A0G2JPF8	HNRNPCL4
A0A0G2JPN4	ENSG00000278401
A0A0G2JQ47	ENSG00000275306
A0A0G2JQF1	ENSG00000280514
A0A0G2JQZ4	ENSG00000281757
A0A0G2JRQ6	ENSG00000281759
A0A0G2JS06	IGLV5-39
A0A0J9YVP2	IGHJ6
A0A0J9YVP9	IGHJ5
A0A0J9YVS3	IGHJ4
A0A0J9YVY3	IGHV7-4-1
A0A0J9YW14	IGHJ3
A0A0J9YW22	IGHD3-9
A0A0J9YW62	ENSG00000282822
A0A0J9YWD0	IGHD3-3
A0A0J9YWN2	IGHJ2
A0A0J9YWP8	TRBJ1-3
A0A0J9YWU9	ENSG00000278082
A0A0J9YWX3	TRBJ1-6
A0A0J9YX06	TRBJ1-2
A0A0J9YX35	IGHV3-64D
A0A0J9YX57	MAGEB6B
A0A0J9YX75	TRBV6-9
A0A0J9YXA8	TRBJ1-1
A0A0J9YXG5	TRBJ1-4
A0A0J9YXM7	TRBJ1-5
A0A0J9YXN1	IGHD3-10
A0A0J9YXV3	LINC00514
A0A0J9YXX1	IGHV5-10-1
A0A0J9YXY3	TRBV6-2
A0A0J9YY99	ENSG00000282150
A0A0K0K1A3	TRBV10-1
A0A0K0K1A5	TRBV6-5
A0A0K0K1B3	TRBV30
A0A0K0K1C0	TRBV11-1
A0A0K0K1C4	TRBV27
A0A0K0K1D8	TRBV6-1
A0A0K0K1E9	TRBV7-7
A0A0K0K1G6	TRBV10-3
A0A0K0K1G8	TRBV10-2
A0A0U1RQB9	IGHD5-12
A0A0U1RQG5	ENSG00000277535
A0A0U1RRA0	ENSG00000236782
A0A0U1RRI6	CENPVL3
A0A0X1KG70	OR4M2B
A0A126GWB0	OR2A2
A0A126GWI2	OR2A25
A0A140T8X8	MUC21
A0A140TA62	ENSG00000262748
A0A140TA67	KRTAP9-6
A0A191URJ7	KIR2DL1
A0A1B0GTB2	TUNAR
A0A1B0GTE1	CNTNAP3C
A0A1B0GTG8	ENSG00000261341
A0A1B0GTH9	LOC100505841
A0A1B0GTI1	CCDC201
A0A1B0GTJ6	LOC101059948
A0A1B0GTQ1	CYP2D7
A0A1B0GTR4	SPRR5
A0A1B0GU71	CFAP97D2
A0A1B0GUA6	CCDC195
A0A1B0GUC4	MYOCOS
A0A1B0GUL7	ENSG00000230626
A0A1B0GUV1	ENSG00000262165
A0A1B0GUZ9	ENSG00000284684
A0A1B0GV96	LOC105371267
A0A1B0GVG4	CCDC194
A0A1B0GVG6	TEX54
A0A1B0GVH4	PRSS51
A0A1B0GVK7	FAM240A
